デンプン粒の種類,粒径範囲
島津義久書状（包）_イネ,3.437
島津義久書状（包）_イネ,3.437
島津義久書状（包）_イネ,3.437
島津義久書状（包）_イネ,3.843
島津義久書状（包）_イネ,3.843
島津義久書状（包）_イネ,3.843
島津義久書状（包）_イネ,3.843
現生イネ,5
現生イネ,5
島津義久書状（包）_イネ,5.154
島津義久書状（包）_イネ,5.154
島津義久書状（包）_イネ,5.154
島津義久書状（包）_イネ,5.154
島津義久書状（包）_イネ,5.156
島津義久書状（包）_イネ,5.156
島津義久書状（包）_イネ,5.156
島津義久書状（包）_イネ,5.156
島津義久書状（包）_イネ,5.156
島津義久書状（包）_イネ,5.156
島津義久書状（包）_イネ,5.156
島津義久書状（包）_イネ,5.156
島津義久書状（包）_イネ,5.156
島津義久書状（包）_イネ,5.156
島津義久書状（包）_イネ,5.156
島津義久書状（包）_イネ,5.156
島津義久書状（包）_イネ,5.156
島津義久書状（包）_イネ,5.156
島津義久書状（包）_イネ,5.156
島津義久書状（包）_イネ,5.156
島津義久書状（包）_イネ,5.156
島津義久書状（包）_イネ,5.156
島津義久書状（包）_イネ,5.156
島津義久書状（包）_イネ,5.156
島津義久書状（包）_イネ,5.156
島津義久書状（包）_イネ,5.156
島津義久書状_イネ,5.433
島津義久書状（包）_イネ,5.435
島津義久書状（包）_イネ,5.435
島津義久書状（包）_イネ,5.435
島津義久書状（包）_イネ,5.435
島津義久書状_イネ,5.443
現生イネ,5.56
現生イネ,5.56
現生イネ,5.56
現生イネ,5.56
現生キビ,5.56
現生イネ,6.11
現生イネ,6.11
現生イネ,6.11
現生イネ,6.11
現生キビ,6.11
現生アワ,6.15
現生ヒエ,6.15
島津義久書状（包）_イネ,6.192
島津義久書状（包）_イネ,6.192
島津義久書状（包）_イネ,6.192
島津義久書状（包）_イネ,6.192
島津義久書状_イネ,6.194
島津義久書状（包）_イネ,6.197
島津義久書状（包）_イネ,6.197
島津義久書状（包）_イネ,6.197
島津義久書状（包）_イネ,6.197
島津義久書状（包）_イネ,6.197
島津義久書状（包）_イネ,6.197
現生イネ,6.67
現生イネ,6.67
現生イネ,6.67
現生イネ,6.67
現生イネ,6.67
現生イネ,6.67
現生イネ,6.8
島津義久書状_イネ,6.869
島津義久書状_イネ,6.872
島津義久書状_イネ,6.872
島津義久書状_イネ,6.872
島津義久書状_イネ,6.872
島津義久書状_イネ,6.872
島津義久書状_イネ,6.872
島津義久書状（包）_イネ,6.872
島津義久書状（包）_イネ,6.872
島津義久書状（包）_イネ,6.872
島津義久書状（包）_イネ,6.872
島津義久書状（包）_イネ,6.872
島津義久書状（包）_イネ,6.872
島津義久書状（包）_イネ,6.872
島津義久書状（包）_イネ,6.872
島津義久書状_イネ,6.875
島津義久書状_イネ,6.875
島津義久書状_イネ,6.875
島津義久書状_イネ,6.875
島津義久書状（包）_イネ,6.875
島津義久書状（包）_イネ,6.875
島津義久書状（包）_イネ,6.875
島津義久書状（包）_イネ,6.875
島津義久書状（包）_イネ,6.875
島津義久書状（包）_イネ,6.875
島津義久書状（包）_イネ,6.875
島津義久書状（包）_イネ,6.875
島津義久書状（包）_イネ,6.875
島津義久書状（包）_イネ,6.875
島津義久書状（包）_イネ,6.875
島津義久書状（包）_イネ,6.875
島津義久書状（包）_イネ,6.875
島津義久書状（包）_イネ,6.875
島津義久書状（包）_イネ,6.875
島津義久書状（包）_イネ,6.875
島津義久書状（包）_イネ,6.875
島津義久書状（包）_イネ,6.875
島津義久書状（包）_イネ,6.875
島津義久書状（包）_イネ,6.875
島津義久書状（包）_イネ,6.875
島津義久書状（包）_イネ,6.875
現生アワ,6.92
現生アワ,6.92
現生ヒエ,6.92
島津義久書状_イネ,7.08
島津義久書状_イネ,7.083
島津義久書状（包）_イネ,7.086
島津義久書状（包）_イネ,7.086
島津義久書状（包）_イネ,7.086
島津義久書状（包）_イネ,7.086
現生キビ,7.2
現生イネ,7.22
現生キビ,7.22
現生キビ,7.22
現生アワ,7.69
現生アワ,7.69
現生アワ,7.69
現生アワ,7.69
現生アワ,7.69
現生ヒエ,7.69
現生ヒエ,7.69
現生ヒエ,7.69
現生イネ,7.78
現生イネ,8.33
現生キビ,8.33
現生キビ,8.33
現生キビ,8.33
現生キビ,8.33
現生キビ,8.33
現生キビ,8.33
現生アワ,8.46
現生アワ,8.46
現生アワ,8.46
島津義久書状_イネ,8.586
島津義久書状_イネ,8.586
島津義久書状_イネ,8.59
島津義久書状_イネ,8.59
島津義久書状_イネ,8.59
島津義久書状_イネ,8.594
島津義久書状_イネ,8.594
島津義久書状（包）_イネ,8.594
島津義久書状（包）_イネ,8.594
島津義久書状（包）_イネ,8.594
島津義久書状（包）_イネ,8.594
島津義久書状（包）_イネ,8.594
島津義久書状（包）_イネ,8.594
島津義久書状（包）_イネ,8.594
島津義久書状（包）_イネ,8.594
島津義久書状（包）_イネ,8.594
島津義久書状（包）_イネ,8.594
島津義久書状（包）_イネ,8.594
島津義久書状（包）_イネ,8.594
島津義久書状（包）_イネ,8.594
島津義久書状（包）_イネ,8.594
島津義久書状（包）_イネ,8.594
島津義久書状（包）_イネ,8.594
島津義久書状（包）_イネ,8.594
島津義久書状（包）_イネ,8.594
島津義久書状（包）_イネ,8.694
島津義久書状（包）_イネ,8.694
島津義久書状（包）_イネ,8.694
島津義久書状（包）_イネ,8.694
島津義久書状_イネ,8.756
島津義久書状_イネ,8.756
島津義久書状_イネ,8.756
島津義久書状_イネ,8.76
島津義久書状_イネ,8.76
島津義久書状_イネ,8.76
島津義久書状_イネ,8.764
島津義久書状（包）_イネ,8.764
島津義久書状（包）_イネ,8.764
島津義久書状（包）_イネ,8.764
島津義久書状（包）_イネ,8.764
島津義久書状（包）_イネ,8.764
島津義久書状（包）_イネ,8.764
島津義久書状（包）_イネ,8.764
島津義久書状（包）_イネ,8.764
島津義久書状（包）_イネ,8.764
島津義久書状（包）_イネ,8.764
島津義久書状（包）_イネ,8.764
島津義久書状（包）_イネ,8.764
現生アワ,9.23
島津義久書状（包）_イネ,9.256
島津義久書状（包）_イネ,9.256
島津義久書状（包）_イネ,9.256
島津義久書状（包）_イネ,9.256
島津義久書状（包）_イネ,9.256
島津義久書状（包）_イネ,9.256
島津義久書状（包）_イネ,9.256
現生ヒエ,9.41
現生キビ,9.44
現生キビ,9.44
現生アワ,10
現生アワ,10
現生キビ,10
現生キビ,10
現生キビ,10
現生ヒエ,10
現生ヒエ,10
現生ヒエ,10
島津義久書状_イネ,10.303
島津義久書状_イネ,10.303
島津義久書状_イネ,10.303
島津義久書状_イネ,10.303
島津義久書状_イネ,10.308
島津義久書状（包）_イネ,10.312
島津義久書状（包）_イネ,10.312
島津義久書状（包）_イネ,10.312
島津義久書状（包）_イネ,10.312
島津義久書状（包）_イネ,10.312
島津義久書状（包）_イネ,10.312
島津義久書状（包）_イネ,10.312
島津義久書状（包）_イネ,10.312
島津義久書状（包）_イネ,10.312
島津義久書状（包）_イネ,10.312
島津義久書状（包）_イネ,10.312
島津義久書状（包）_イネ,10.312
島津義久書状（包）_イネ,10.312
島津義久書状_イネ,10.455
島津義久書状（包）_イネ,10.455
島津義久書状（包）_イネ,10.455
島津義久書状（包）_イネ,10.455
島津義久書状（包）_イネ,10.455
島津義久書状（包）_イネ,10.455
島津義久書状（包）_イネ,10.455
島津義久書状（包）_イネ,10.455
島津義久書状（包）_イネ,10.455
島津義久書状（包）_イネ,10.455
島津義久書状（包）_イネ,10.455
島津義久書状（包）_イネ,10.455
島津義久書状（包）_イネ,10.455
島津義久書状（包）_イネ,10.455
現生キビ,10.56
現生キビ,10.56
現生ヒエ,10.77
島津義久書状（包）_イネ,10.87
島津義久書状（包）_イネ,10.87
島津義久書状（包）_イネ,10.87
島津義久書状（包）_イネ,10.87
島津義久書状（包）_イネ,10.87
島津義久書状（包）_イネ,10.87
現生キビ,11.11
島津義久書状_イネ,11.524
現生アワ,11.54
現生アワ,11.54
現生アワ,11.54
現生アワ,11.54
現生ヒエ,11.54
現生ヒエ,11.54
現生ヒエ,11.54
現生ヒエ,11.54
現生ヒエ,11.54
現生ヒエ,11.54
現生ヒエ,11.54
現生ヒエ,11.54
現生キビ,11.67
島津義久書状（包）_イネ,12.031
島津義久書状（包）_イネ,12.031
島津義久書状（包）_イネ,12.031
島津義久書状（包）_イネ,12.031
島津義久書状（包）_トロロアオイ,13.75
現生ヒエ,12.31
現生ヒエ,13.08
現生アワ,13.2
現生アワ,13.2
162島津道鑒（鑑）下文_トロロアオイ,13.534
63長井藤栄書状写_種不明,13.706
64島津久哲書状_トロロアオイ,13.787
162島津道鑒（鑑）下文_トロロアオイ,15.32
64島津久哲書状_トロロアオイ,15.504
64島津久哲書状_トロロアオイ,18.958
64島津久哲書状_トロロアオイ,22.983
